Id;Tiempo;Tratamiento;Repeticion;Resultado
f1100;0 ddi;As 100 mg/L Pb;1;0,00
f2100;0 ddi;As 100 mg/L Pb;2;0,00
f3100;0 ddi;As 100 mg/L Pb;3;0,00
f1100;10 ddi;As 100 mg/L Pb;1;4,50
f2100;10 ddi;As 100 mg/L Pb;2;9,70
f3100;10 ddi;As 100 mg/L Pb;3;12,80
f1100;15 ddi;As 100 mg/L Pb;1;63,10
f2100;15 ddi;As 100 mg/L Pb;2;58,30
f3100;15 ddi;As 100 mg/L Pb;3;67,70
f1100;20 ddi;As 100 mg/L Pb;1;82,10
f2100;20 ddi;As 100 mg/L Pb;2;87,40
f3100;20 ddi;As 100 mg/L Pb;3;90,20
f1150;0 ddi;As 150 mg/L Pb;1;0,00
f2150;0 ddi;As 150 mg/L Pb;2;0,00
f3150;0 ddi;As 150 mg/L Pb;3;0,00
f1150;10 ddi;As 150 mg/L Pb;1;23,33
f2150;10 ddi;As 150 mg/L Pb;2;35,73
f3150;10 ddi;As 150 mg/L Pb;3;33,27
f1150;15 ddi;As 150 mg/L Pb;1;59,93
f2150;15 ddi;As 150 mg/L Pb;2;55,13
f3150;15 ddi;As 150 mg/L Pb;3;56,80
f1150;20 ddi;As 150 mg/L Pb;1;91,87
f2150;20 ddi;As 150 mg/L Pb;2;94,13
f3150;20 ddi;As 150 mg/L Pb;3;92,80
f1200;0 ddi;As 200 mg/L Pb;1;0,00
f2200;0 ddi;As 200 mg/L Pb;2;0,00
f3200;0 ddi;As 200 mg/L Pb;3;0,00
f1200;10 ddi;As 200 mg/L Pb;1;53,35
f2200;10 ddi;As 200 mg/L Pb;2;56,05
f3200;10 ddi;As 200 mg/L Pb;3;55,40
f1200;15 ddi;As 200 mg/L Pb;1;73,10
f2200;15 ddi;As 200 mg/L Pb;2;77,70
f3200;15 ddi;As 200 mg/L Pb;3;75,05
f1200;20 ddi;As 200 mg/L Pb;1;94,80
f2200;20 ddi;As 200 mg/L Pb;2;92,70
f3200;20 ddi;As 200 mg/L Pb;3;95,65
