Tratamiento;Bloque;Altura_cm
NPK Comercial;A;51,49
NPK Comercial;A;49,59
NPK Comercial;A;51,94
NPK Comercial;A;54,57
NPK Comercial;A;49,3
NPK Comercial;A;49,3
NPK Comercial;A;54,74
NPK Comercial;A;52,3
NPK Comercial;A;48,59
NPK Comercial;A;51,63
NPK + Bioinoculante;A;53,61
NPK + Bioinoculante;A;53,6
NPK + Bioinoculante;A;55,73
NPK + Bioinoculante;A;49,26
NPK + Bioinoculante;A;49,83
NPK + Bioinoculante;A;53,31
NPK + Bioinoculante;A;51,96
NPK + Bioinoculante;A;55,94
NPK + Bioinoculante;A;52,28
NPK + Bioinoculante;A;50,76
Organico + NPK (50:50);A;64,4
Organico + NPK (50:50);A;59,32
Organico + NPK (50:50);A;60,2
Organico + NPK (50:50);A;55,73
Organico + NPK (50:50);A;58,37
Organico + NPK (50:50);A;60,33
Organico + NPK (50:50);A;56,55
Organico + NPK (50:50);A;61,13
Organico + NPK (50:50);A;58,2
Organico + NPK (50:50);A;59,12
Orgánico + NPK;A;63,19
Orgánico + NPK;A;70,56
Orgánico + NPK;A;64,96
Orgánico + NPK;A;61,83
Orgánico + NPK;A;67,47
Orgánico + NPK;A;61,34
Orgánico + NPK;A;65,63
Orgánico + NPK;A;59,12
Orgánico + NPK;A;61,02
Orgánico + NPK;A;65,59
NPK Comercial;B;52,22
NPK Comercial;B;50,51
NPK Comercial;B;49,65
NPK Comercial;B;49,1
NPK Comercial;B;45,56
NPK Comercial;B;47,84
NPK Comercial;B;48,62
NPK Comercial;B;53,17
NPK Comercial;B;51,03
NPK Comercial;B;44,71
NPK + Bioinoculante;B;55,97
NPK + Bioinoculante;B;53,84
NPK + Bioinoculante;B;52,97
NPK + Bioinoculante;B;56,84
NPK + Bioinoculante;B;58,09
NPK + Bioinoculante;B;57,79
NPK + Bioinoculante;B;52,48
NPK + Bioinoculante;B;54,07
NPK + Bioinoculante;B;55,99
NPK + Bioinoculante;B;57,93
Organico + NPK (50:50);B;58,56
Organico + NPK (50:50);B;59,44
Organico + NPK (50:50);B;56,68
Organico + NPK (50:50);B;56,41
Organico + NPK (50:50);B;62,44
Organico + NPK (50:50);B;64,07
Organico + NPK (50:50);B;59,78
Organico + NPK (50:50);B;63,01
Organico + NPK (50:50);B;61,08
Organico + NPK (50:50);B;58,06
Orgánico + NPK;B;66,08
Orgánico + NPK;B;69,61
Orgánico + NPK;B;64,89
Orgánico + NPK;B;69,69
Orgánico + NPK;B;57,14
Orgánico + NPK;B;67,47
Orgánico + NPK;B;65,26
Orgánico + NPK;B;64,1
Orgánico + NPK;B;65,28
Orgánico + NPK;B;59,04
NPK Comercial;C;49,34
NPK Comercial;C;51,07
NPK Comercial;C;54,43
NPK Comercial;C;48,45
NPK Comercial;C;47,57
NPK Comercial;C;48,49
NPK Comercial;C;52,75
NPK Comercial;C;50,99
NPK Comercial;C;48,41
NPK Comercial;C;51,54
NPK + Bioinoculante;C;55,29
NPK + Bioinoculante;C;57,91
NPK + Bioinoculante;C;52,89
NPK + Bioinoculante;C;54,02
NPK + Bioinoculante;C;53,82
NPK + Bioinoculante;C;50,61
NPK + Bioinoculante;C;55,89
NPK + Bioinoculante;C;55,78
NPK + Bioinoculante;C;55,02
NPK + Bioinoculante;C;54,3
Organico + NPK (50:50);C;55,75
Organico + NPK (50:50);C;58,74
Organico + NPK (50:50);C;58,97
Organico + NPK (50:50);C;57,59
Organico + NPK (50:50);C;59,52
Organico + NPK (50:50);C;61,21
Organico + NPK (50:50);C;65,66
Organico + NPK (50:50);C;60,52
Organico + NPK (50:50);C;60,77
Organico + NPK (50:50);C;59,78
Orgánico + NPK;C;59,24
Orgánico + NPK;C;64,92
Orgánico + NPK;C;65,18
Orgánico + NPK;C;72,39
Orgánico + NPK;C;64,42
Orgánico + NPK;C;65,9
Orgánico + NPK;C;64,9
Orgánico + NPK;C;61,49
Orgánico + NPK;C;68,43
Orgánico + NPK;C;67,26
